id,name,latitude,longitude,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Jamestown,46.908354,-98.705855,"15,427","15,398","15,354","15,407","15,427","15,367","15,393","15,425","15,206","15,084"
2,Lincoln,46.7645,-100.690038,"2,406","2,642","2,801","3,101","3,358","3,502","3,660","3,740","3,783","3,817"
3,Mandan,46.827714,-100.892126,"18,331","19,122","19,516","20,312","21,239","21,753","22,133","22,367","22,533","22,752"
4,Dickinson,46.880875,-102.784169,"17,787","18,608","19,792","20,914","22,306","23,547","22,741","22,280","22,696","23,133"
5,Fargo,46.878056,-96.782781,"105,549","108,142","110,881","113,739","115,715","118,093","120,149","122,420","124,091","124,662"
6,Devils Lake,48.114013,-98.859059,"7,141","7,210","7,274","7,294","7,332","7,383","7,334","7,354","7,348","7,320"
7,Grand Forks,47.925882,-97.034512,"52,838","52,770","53,576","54,914","55,811","56,535","56,729","56,754","56,637","55,839"
8,Minot,48.233943,-101.300813,"40,888","43,222","44,148","46,536","48,174","49,627","48,803","48,046","47,455","47,382"
9,New Town,47.979665,-102.484031,"1,925","2,064","2,224","2,345","2,384","2,499","2,505","2,510","2,518","2,592"
10,Stanley,48.316942,-102.391007,"1,458","1,610","1,797","2,039","2,396","2,678","2,645","2,644","2,616","2,677"
11,Valley City,46.924919,-98.001189,"6,585","6,681","6,603","6,667","6,623","6,614","6,536","6,426","6,383","6,323"
12,Wahpeton,46.268654,-96.604716,"7,766","7,782","7,822","7,850","7,882","7,850","7,822","7,849","7,798","7,734"
13,Watford City,47.802958,-103.281825,"1,744","2,046","2,569","3,360","4,304","6,745","6,420","6,529","7,080","7,835"
14,Williston,48.146409,-103.620469,"14,716","17,442","19,646","22,249","24,843","27,265","26,568","25,932","27,455","29,033"
15,Rugby,48.367802,-99.995903,"2,876","2,872","2,915","2,891","2,854","2,784","2,745","2,668","2,650","2,590"
16,West Fargo,46.87222,-96.88521,"25,830","26,644","27,620","29,845","31,584","33,398","34,598","35,645","36,260","37,058"
17,Horace,46.756936,-96.902314,"2,430","2,471","2,521","2,565","2,559","2,553","2,650","2,728","2,830","2,944"
18,Beulah,47.264216,-101.777708,"3,121","3,157","3,194","3,272","3,316","3,336","3,313","3,243","3,168","3,139"
19,Grafton,48.420755,-97.410788,"4,284","4,306","4,302","4,315","4,245","4,224","4,215","4,211","4,161","4,157"
20,Bismark,46.807165,-100.784246,"61,272","62,768","64,772","67,127","69,011","71,413","72,580","73,141","73,229","73,529"
