id,name,latitude,longitude,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Arizona Diamondbacks,33.445111,-112.066613,61368166,54823166,67069833,80060500,89926500,64434000,78399500,106580200,134850600,124016266
2,Atlanta Braves,33.890816,-84.467734,84423666,93855132,86208000,95618750,108081500,104037500,74999750,119705250,115848667,133186667
3,Baltimore Orioles,39.283944,-76.621737,81612500,88299038,77949000,100832000,109097500,112989833,153744833,161621633,141555833,82696100
4,Boston Red Sox,42.346532,-71.097322,164507333,166662475,110386000,175395500,134628929,183931900,218682750,200550750,222205000,218978142
5,Chicago Cubs,41.94811,-87.655672,146609002,136547329,86159366,67874166,59800500,115306610,176097333,177210667,205373881,217805215
6,Chicago White Sox,41.829825,-87.633682,107195000,127789000,118208000,81401900,87475500,112889700,113416000,97842000,75092000,80846333
7,Cinncinati Reds,39.097209,-84.506504,75321542,77297134,80309500,106255535,102230000,111572286,77329561,79315786,94587500,109737499
8,Cleveland Indians,41.496074,-81.68524,61203966,49426566,78911300,87342433,73509399,59163766,94511067,114427167,143375233,151257783
9,Colorado Rockies,39.7558,-104.994178,90677000,91648071,75485000,73768000,95403500,96438600,89707000,106650000,136658500,145348500
10,Detroit Tigers,42.338953,-83.048561,124039928,106875231,131394000,154407000,169135500,172284750,199902000,118375600,111531000,100618500
11,Miami Marlins,25.777645,-80.219521,57454719,57694000,37651000,14672300,44736800,93256200,89498000,157656400,172781200,166042500
12,Houston Astros,29.757232,-95.355407,93216000,71110500,61747075,87426250,89804075,121590475,125132675,127555817,95199167,98183242
13,Kansas City Royals,39.051564,-94.480357,73105210,35712000,141073500,116532500,128667000,131522500,139712000,181125500,166849666,177345250
14,Los Angeles Angels,33.800253,-117.882658,104963866,138543166,177033600,254161000,233386026,265140429,231342096,201466263,164703429,193553333
15,Los Angeles Dodgers,34.073789,-118.23998,95358016,103785477,107678000,24761900,42365400,71231500,72472000,111591100,86515143,74683643
16,Milwaukee Brewers,43.02813,-87.971011,81108278,86636333,95717000,86945000,109567000,70869500,52077500,68439300,109295700,128842900
17,Minnesota Twins,44.981739,-93.277564,97559166,112737000,99066000,63042500,87044000,107755000,93333700,103932500,110275000,113758333
18,New York Mets,40.757181,-73.84597,134422942,151897309,91621424,69425860,82663615,98874473,155221282,176615252,161403844,154837230
19,New York Yankees,40.829729,-73.926337,210733389,206275028,197977900,246534750,258118959,214051957,193229350,182424700,160743032,228442421
20,Oakland Athletics,37.751538,-122.200586,57904900,67094000,61202500,69440000,89160900,64016001,54969067,51560000,69883333,102935833
21,Philadelphia Phillies,39.906147,-75.166636,141928379,172976379,171501558,150860000,176444967,103082167,84846666,86276000,93874333,141786962
22,Pittsburgh Pirates,40.446826,-80.005589,37443000,45047000,70077000,99230000,80729000,104457499,81187933,102953333,88141000,72915501
23,San Diego Padres,32.707525,-117.157062,37799300,45869140,55494700,65988600,76662100,125203700,50656166,49248767,93821067,90260767
24,Seattle Mariners,47.591362,-122.332475,86510000,86110600,78235600,78887000,95471000,130681400,137169100,172438700,157090065,126874600
25,San Francisco Giants,37.778509,-122.389296,98641333,124198333,117637350,139845667,163510167,180018166,177021333,177399833,202060277,175550753
26,Saint Louis Cardinals,38.622765,-90.192745,93540751,105433572,112071000,112583000,129932500,128241500,150353500,129652933,157713667,161120267
27,Tampa Bay Rays,27.768525,-82.65363,71923471,41053571,63368700,71163500,77814300,64571233,48223791,79473033,46011667,56071767
28,Texas Rangers,32.750973,-97.082866,56474374,93799264,124119900,139261200,129801239,178860789,212117760,207326274,106099628,104433499
29,Toronto Blue Jays,43.641746,-79.389057,62734000,64567800,82352700,124517800,136466200,117917400,182690767,158890575,151670772,64680671
30,Washington Nationals,38.873148,-77.007396,67701000,68492928,92386000,112493250,137235080,176496372,152967400,175587301,188886699,203016595
